label,text
legitimate,"Your meeting is confirmed for tomorrow at 10 AM. Please bring the project report."
legitimate,"The monthly engineering review will take place on Friday. The agenda is attached."
legitimate,"Your order has shipped and can be tracked from the orders page in your account."
legitimate,"Please find the invoice for the services delivered this month. Let us know if you have questions."
legitimate,"The HR team has scheduled your interview for Monday. Please use the calendar invitation."
legitimate,"Your password was changed successfully. If you made this change, no action is required."
legitimate,"The project deployment completed successfully. The release notes are available in the repository."
legitimate,"Reminder: your appointment is scheduled for 3 PM tomorrow."
legitimate,"The finance team has approved the reimbursement submitted last week."
legitimate,"Please review the quarterly report before our team discussion."
spam,"Congratulations! You have won a free prize. Claim your reward now."
spam,"Exclusive offer! Get a huge discount today. Limited time only."
spam,"You have been selected for a special cash bonus. Click now to receive it."
spam,"Act now to unlock your reward before the offer expires."
spam,"Win a free gift card by completing this short survey."
spam,"Special promotion just for you. Claim your coupon today."
spam,"You are a lucky winner. Collect your bonus immediately."
spam,"Limited offer! Save big today with this exclusive promotion."
phishing,"Urgent: Your account will be suspended. Verify your password immediately."
phishing,"Security alert! Click the link to confirm your banking credentials now."
phishing,"Your payment failed. Login immediately to update your card details."
phishing,"We detected suspicious activity. Confirm your identity using the secure link."
phishing,"Your mailbox will be disabled today. Verify your credentials to keep access."
phishing,"Final warning: update your account information or access will be blocked."
phishing,"Your refund is waiting. Enter your bank details to receive the payment."
phishing,"Unusual login detected. Click the verification link and enter your password."
phishing,"Your account requires immediate verification. Provide your login details now."
phishing,"Important security notice. Confirm your username and password immediately."
